"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AD","","","",1,*,"","","","","","Mailing and home or office addresses. A sequence of address parts, such as street or post office Box, city, postal code, country, etc.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AD.nullFlavor","","","Exceptional Value Detail",0,1,"","","","code {[]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-NullFlavor","",,,,"ANY.nullFlavor",0,1,"",""
"AD.isNotOrdered","","","Is Not Ordered",0,1,"","","","boolean {[]} {[]}
","","A boolean value specifying whether the order of the address parts is known or not. While the address parts are always a Sequence, the order in which they are presented may or may not be known. Where this matters, the isNotOrdered property can be used to convey this information.","","","","","","","","","",,,,,"",,,,"AD.isNotOrdered",0,1,"",""
"AD.use","","","Use Code",0,*,"","","","code {[]} {[]}
","","A set of codes advising a system or user which address in a set of like addresses to select for a given purpose.","","","","","","","","","",,,,,"",,,,"AD.use",0,*,"",""
"AD.delimiter","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ADXP {[]} {[]}
","","Delimiters are printed without framing white space. If no value component is provided, the delimiter appears as a line break.","","","","","","","","","",,,,,"",,,,"AD.delimiter",0,*,"",""
"AD.delimiter.partType","","","",0,1,"","","","code {[]} {[]}
","","Specifies the type of the address part","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""DEL""/>","","","","",,,,,"",,,,"AD.delimiter.partType",0,1,"",""
"AD.country","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ADXP {[]} {[]}
","","Country","","","","","","","","","",,,,,"",,,,"AD.country",0,*,"",""
"AD.country.partType","","","",0,1,"","","","code {[]} {[]}
","","Specifies the type of the address part","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""CNT""/>","","","","",,,,,"",,,,"AD.country.partType",0,1,"",""
"AD.state","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ADXP {[]} {[]}
","","A sub-unit of a country with limited sovereignty in a federally organized country.","","","","","","","","","",,,,,"",,,,"AD.state",0,*,"",""
"AD.state.partType","","","",0,1,"","","","code {[]} {[]}
","","Specifies the type of the address part","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""STA""/>","","","","",,,,,"",,,,"AD.state.partType",0,1,"",""
"AD.county","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ADXP {[]} {[]}
","","A sub-unit of a state or province. (49 of the United States of America use the term ""county;"" Louisiana uses the term ""parish"".)","","","","","","","","","",,,,,"",,,,"AD.county",0,*,"",""
"AD.county.partType","","","",0,1,"","","","code {[]} {[]}
","","Specifies the type of the address part","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""CPA""/>","","","","",,,,,"",,,,"AD.county.partType",0,1,"",""
"AD.city","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ADXP {[]} {[]}
","","The name of the city, town, village, or other community or delivery center","","","","","","","","","",,,,,"",,,,"AD.city",0,*,"",""
"AD.city.partType","","","",0,1,"","","","code {[]} {[]}
","","Specifies the type of the address part","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""CTY""/>","","","","",,,,,"",,,,"AD.city.partType",0,1,"",""
"AD.postalCode","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ADXP {[]} {[]}
","","A postal code designating a region defined by the postal service.","","","","","","","","","",,,,,"",,,,"AD.postalCode",0,*,"",""
"AD.postalCode.partType","","","",0,1,"","","","code {[]} {[]}
","","Specifies the type of the address part","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""ZIP""/>","","","","",,,,,"",,,,"AD.postalCode.partType",0,1,"",""
"AD.streetAddressLine","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ADXP {[]} {[]}
","","Street address line","","","","","","","","","",,,,,"",,,,"AD.streetAddressLine",0,*,"",""
"AD.streetAddressLine.partType","","","",0,1,"","","","code {[]} {[]}
","","Specifies the type of the address part","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""SAL""/>","","","","",,,,,"",,,,"AD.streetAddressLine.partType",0,1,"",""
"AD.houseNumber","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ADXP {[]} {[]}
","","The number of a building, house or lot alongside the street. Also known as ""primary street number"". This does not number the street but rather the building.","","","","","","","","","",,,,,"",,,,"AD.houseNumber",0,*,"",""
"AD.houseNumber.partType","","","",0,1,"","","","code {[]} {[]}
","","Specifies the type of the address part","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""BNR""/>","","","","",,,,,"",,,,"AD.houseNumber.partType",0,1,"",""
"AD.houseNumberNumeric","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ADXP {[]} {[]}
","","The numeric portion of a building number","","","","","","","","","",,,,,"",,,,"AD.houseNumberNumeric",0,*,"",""
"AD.houseNumberNumeric.partType","","","",0,1,"","","","code {[]} {[]}
","","Specifies the type of the address part","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""BNN""/>","","","","",,,,,"",,,,"AD.houseNumberNumeric.partType",0,1,"",""
