"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"TN","","","",1,*,"","","","","","A restriction of entity name that is effectively a simple string used for a simple name for things and places.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"TN.nullFlavor","","","Exceptional Value Detail",0,1,"","","","code {[]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-NullFlavor","",,,,"ANY.nullFlavor",0,1,"",""
"TN.use","","","Use Code",0,1,"","","","code {[]} {[]}
","","A set of codes advising a system or user which name in a set of like names to select for a given purpose. A name without specific use code might be a default name useful for any purpose, but a name with a specific use code would be preferred for that respective purpose","","","","","","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-EntityNameUse","",,,,"EN.use",0,1,"",""
"TN.delimiter","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ENXP {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.delimiter",0,*,"",""
"TN.family","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ENXP {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.family",0,*,"",""
"TN.given","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ENXP {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.given",0,*,"",""
"TN.prefix","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ENXP {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.prefix",0,*,"",""
"TN.suffix","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/ENXP {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.suffix",0,*,"",""
"TN.other","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"EN.other",0,1,"",""
"TN.validTime","","","Valid Time",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/IVL-TS {[]} {[]}
","","An interval of time specifying the time during which the name is or was used for the entity. This accomodates the fact that people change names for people, places and things.","","","","","","","","","",,,,,"",,,,"EN.validTime",0,1,"",""
"TN.delimiter","","","",0,0,"","","","","","","","","","","","","","","",,,,,"",,,,"TN.delimiter",0,0,"",""
"TN.family","","","",0,0,"","","","","","","","","","","","","","","",,,,,"",,,,"TN.family",0,0,"",""
"TN.given","","","",0,0,"","","","","","","","","","","","","","","",,,,,"",,,,"TN.given",0,0,"",""
"TN.prefix","","","",0,0,"","","","","","","","","","","","","","","",,,,,"",,,,"TN.prefix",0,0,"",""
"TN.suffix","","","",0,0,"","","","","","","","","","","","","","","",,,,,"",,,,"TN.suffix",0,0,"",""
